onet_code,technology,trendy,demand
11-1011.00,Adobe Acrobat,Y,N
11-1011.00,AdSense Tracker,N,N
11-1011.00,Atlassian JIRA,Y,N
11-1011.00,Blackbaud The Raiser's Edge,N,N
11-1011.00,ComputerEase construction accounting software,N,N
11-1011.00,Database reporting software,N,N
11-1011.00,Databox,N,N
11-1011.00,Email software,N,N
11-1011.00,Enterprise resource planning ERP software,N,N
11-1011.00,Exact Software Macola ES Labor Performance,N,N
11-1011.00,Extensible markup language XML,Y,N
11-1011.00,Fund accounting software,N,N
11-1011.00,Graphic presentation software,N,N
11-1011.00,Halogen e360,N,N
11-1011.00,Halogen ePraisal,N,N
11-1011.00,HCSS HeavyBid,N,N
11-1011.00,HCSS HeavyJob,N,N
11-1011.00,Human resource information system (HRIS),N,N
11-1011.00,Infor SSA Human Capital Management,N,N
11-1011.00,Intuit QuickBooks,Y,N
11-1011.00,Listserv software,N,N
11-1011.00,Lyris HQ Web-Analytics Solution,N,N
11-1011.00,Mentimeter,N,N
11-1011.00,Microsoft Access,Y,N
11-1011.00,Microsoft Dynamics,N,N
11-1011.00,Microsoft Dynamics AX,N,N
11-1011.00,Microsoft Dynamics GP,N,N
11-1011.00,Microsoft Excel,Y,Y
11-1011.00,Microsoft FRx,N,N
11-1011.00,Microsoft Office software,Y,Y
11-1011.00,Microsoft Outlook,Y,Y
11-1011.00,Microsoft PowerPoint,Y,Y
11-1011.00,Microsoft Project,Y,N
11-1011.00,Microsoft Publisher,N,N
11-1011.00,Microsoft SharePoint,Y,N
11-1011.00,Microsoft Word,Y,N
11-1011.00,Nedstat Sitestat,N,N
11-1011.00,Norchard Solutions Succession Wizard,N,N
11-1011.00,Online advertising reporting software,N,N
11-1011.00,Oracle E-Business Suite,N,N
11-1011.00,Oracle PeopleSoft,Y,N
11-1011.00,Oracle Siebel Server Sync,N,N
11-1011.00,PHP,Y,N
11-1011.00,Relational database management software,N,N
11-1011.00,Sage 50 Accounting,N,N
11-1011.00,SAP software,Y,N
11-1011.00,SmugMug Flickr,N,N
11-1011.00,Structured query language SQL,Y,N
11-1011.00,Web browser software,N,N
